onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.001	rest	n/a	n/a
42.002	4.000	fb_a_neg	0.000	0.000
46.002	9.998	feel	n/a	n/a
56.000	4.000	fb_a_neg	0.091	0.131
60.000	10.001	feel	n/a	n/a
70.001	4.001	fb_a_neg	0.011	0.286
74.002	10.000	feel	n/a	n/a
84.002	4.000	fb_a_neg	-0.289	-0.694
88.002	9.999	feel	n/a	n/a
98.001	4.000	fb_a_neg	0.437	-0.460
102.001	10.000	rest	n/a	n/a
112.001	4.001	fb_v_pos	0.000	0.000
116.002	10.000	feel	n/a	n/a
126.002	3.999	fb_v_pos	0.020	0.451
130.001	10.000	feel	n/a	n/a
140.001	3.999	fb_v_pos	-0.280	0.857
144.000	10.001	feel	n/a	n/a
154.001	4.001	fb_v_pos	0.220	0.243
158.002	10.000	feel	n/a	n/a
168.002	4.000	fb_v_pos	0.291	0.814
172.002	10.000	rest	n/a	n/a
182.002	3.999	fb_a_pos	0.000	0.000
186.001	9.999	feel	n/a	n/a
196.000	4.000	fb_a_pos	0.146	-0.129
200.000	10.002	feel	n/a	n/a
210.002	3.998	fb_a_pos	0.246	-0.283
214.000	10.002	feel	n/a	n/a
224.002	3.999	fb_a_pos	0.574	-0.277
228.001	10.001	feel	n/a	n/a
238.002	3.999	fb_a_pos	-0.554	0.214
242.001	10.000	rest	n/a	n/a
252.001	3.999	fb_v_neg	0.000	0.000
256.000	10.002	feel	n/a	n/a
266.002	4.000	fb_v_neg	-0.600	0.254
270.002	9.999	feel	n/a	n/a
280.001	4.000	fb_v_neg	-0.300	0.360
284.001	9.999	feel	n/a	n/a
294.000	4.002	fb_v_neg	-0.131	0.031
298.002	9.998	feel	n/a	n/a
308.000	4.000	fb_v_neg	-0.511	-0.114
312.000	10.002	rest	n/a	n/a
322.002	3.999	fb_v_pos	0.000	0.000
326.001	10.000	feel	n/a	n/a
336.001	4.001	fb_v_pos	0.374	-0.051
340.002	9.998	feel	n/a	n/a
350.000	4.002	fb_v_pos	0.043	0.220
354.002	10.000	feel	n/a	n/a
364.002	4.000	fb_v_pos	0.217	-0.149
368.002	10.000	feel	n/a	n/a
378.002	4.000	fb_v_pos	0.460	-0.003
382.002	9.998	rest	n/a	n/a
392.000	4.002	fb_a_pos	0.000	0.000
396.002	9.999	feel	n/a	n/a
406.001	4.000	fb_a_pos	0.929	0.109
410.001	10.000	feel	n/a	n/a
420.001	4.001	fb_a_pos	0.534	0.203
424.002	9.998	feel	n/a	n/a
434.000	4.001	fb_a_pos	0.291	0.549
438.001	10.001	feel	n/a	n/a
448.002	3.999	fb_a_pos	0.303	-0.254
452.001	10.000	rest	n/a	n/a
462.001	4.001	fb_a_neg	0.000	0.000
466.002	9.998	feel	n/a	n/a
476.000	4.000	fb_a_neg	0.466	0.129
480.000	10.002	feel	n/a	n/a
490.002	3.998	fb_a_neg	0.540	0.023
494.000	10.002	feel	n/a	n/a
504.002	3.999	fb_a_neg	0.054	-0.529
508.001	10.000	feel	n/a	n/a
518.001	3.999	fb_a_neg	-0.034	-0.209
522.000	10.000	rest	n/a	n/a
532.000	4.002	fb_v_neg	0.000	0.000
536.002	10.000	feel	n/a	n/a
546.002	4.000	fb_v_neg	0.074	0.083
550.002	10.000	feel	n/a	n/a
560.002	3.999	fb_v_neg	-0.154	-0.297
564.001	10.000	feel	n/a	n/a
574.001	3.999	fb_v_neg	-0.066	-0.023
578.000	10.000	feel	n/a	n/a
588.000	4.002	fb_v_neg	-0.514	-0.106
592.002	27.998	finish	n/a	n/a
