onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.001	rest	n/a	n/a
42.002	3.999	fb_v_pos	0.000	0.000
46.001	10.000	feel	n/a	n/a
56.001	4.000	fb_v_pos	0.394	0.074
60.001	10.000	feel	n/a	n/a
70.001	3.999	fb_v_pos	0.057	0.003
74.000	10.002	feel	n/a	n/a
84.002	4.000	fb_v_pos	0.146	-0.411
88.002	9.999	feel	n/a	n/a
98.001	3.999	fb_v_pos	0.463	-0.146
102.000	10.000	rest	n/a	n/a
112.000	4.002	fb_a_pos	0.000	0.000
116.002	9.999	feel	n/a	n/a
126.001	4.000	fb_a_pos	0.931	0.137
130.001	10.002	feel	n/a	n/a
140.003	3.998	fb_a_pos	0.366	-0.080
144.001	9.999	feel	n/a	n/a
154.000	4.002	fb_a_pos	0.297	0.331
158.002	10.000	feel	n/a	n/a
168.002	3.998	fb_a_pos	0.340	0.631
172.000	10.002	rest	n/a	n/a
182.002	3.998	fb_a_neg	0.000	0.000
186.000	10.002	feel	n/a	n/a
196.002	3.998	fb_a_neg	0.651	0.051
200.000	10.002	feel	n/a	n/a
210.002	4.000	fb_a_neg	0.540	-0.134
214.002	9.999	feel	n/a	n/a
224.001	3.999	fb_a_neg	0.214	-0.794
228.000	10.000	feel	n/a	n/a
238.000	4.001	fb_a_neg	-0.031	-0.563
242.001	9.999	rest	n/a	n/a
252.000	4.001	fb_v_neg	0.000	0.000
256.001	10.001	feel	n/a	n/a
266.002	3.998	fb_v_neg	0.074	-0.351
270.000	10.002	feel	n/a	n/a
280.002	3.998	fb_v_neg	-0.157	0.171
284.000	10.002	feel	n/a	n/a
294.002	3.999	fb_v_neg	-0.069	0.251
298.001	10.000	feel	n/a	n/a
308.001	4.001	fb_v_neg	-0.523	0.251
312.002	10.000	rest	n/a	n/a
322.002	4.000	fb_a_neg	0.000	0.000
326.002	9.998	feel	n/a	n/a
336.000	4.001	fb_a_neg	-0.186	0.234
340.001	10.000	feel	n/a	n/a
350.001	4.001	fb_a_neg	-0.006	-0.817
354.002	9.999	feel	n/a	n/a
364.001	4.001	fb_a_neg	-0.286	-0.831
368.002	10.000	feel	n/a	n/a
378.002	3.999	fb_a_neg	0.443	-0.814
382.001	10.000	rest	n/a	n/a
392.001	4.000	fb_v_pos	0.000	0.000
396.001	10.001	feel	n/a	n/a
406.002	4.000	fb_v_pos	0.023	0.340
410.002	9.998	feel	n/a	n/a
420.000	4.002	fb_v_pos	0.006	0.660
424.002	9.998	feel	n/a	n/a
434.000	4.001	fb_v_pos	0.217	0.143
438.001	10.000	feel	n/a	n/a
448.001	4.001	fb_v_pos	0.291	0.880
452.002	10.000	rest	n/a	n/a
462.002	4.000	fb_a_pos	0.000	0.000
466.002	10.001	feel	n/a	n/a
476.003	3.998	fb_a_pos	0.174	0.240
480.001	10.000	feel	n/a	n/a
490.001	4.001	fb_a_pos	0.243	0.114
494.002	10.000	feel	n/a	n/a
504.002	4.000	fb_a_pos	0.574	-0.400
508.002	10.000	feel	n/a	n/a
518.002	3.998	fb_a_pos	-0.560	0.660
522.000	10.002	rest	n/a	n/a
532.002	4.000	fb_v_neg	0.000	0.000
536.002	10.000	feel	n/a	n/a
546.002	4.000	fb_v_neg	-0.597	0.183
550.002	9.999	feel	n/a	n/a
560.001	4.000	fb_v_neg	-0.294	-0.071
564.001	9.999	feel	n/a	n/a
574.000	4.001	fb_v_neg	-0.249	0.051
578.001	9.999	feel	n/a	n/a
588.000	4.001	fb_v_neg	-0.517	0.374
592.001	27.999	finish	n/a	n/a
