onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.001	rest	n/a	n/a
42.002	3.999	fb_a_pos	0.000	0.000
46.001	10.000	feel	n/a	n/a
56.001	4.000	fb_a_pos	-0.200	0.529
60.001	9.999	feel	n/a	n/a
70.000	4.000	fb_a_pos	0.203	0.589
74.000	10.002	feel	n/a	n/a
84.002	3.999	fb_a_pos	0.009	0.766
88.001	10.001	feel	n/a	n/a
98.002	3.999	fb_a_pos	-0.246	0.100
102.001	10.000	rest	n/a	n/a
112.001	4.000	fb_v_neg	0.000	0.000
116.001	10.000	feel	n/a	n/a
126.001	4.001	fb_v_neg	0.697	0.743
130.002	9.999	feel	n/a	n/a
140.001	4.001	fb_v_neg	0.317	0.320
144.002	9.998	feel	n/a	n/a
154.000	4.002	fb_v_neg	-0.660	0.174
158.002	9.999	feel	n/a	n/a
168.001	4.000	fb_v_neg	-0.309	0.411
172.001	10.001	rest	n/a	n/a
182.002	3.998	fb_v_pos	0.000	0.000
186.000	10.002	feel	n/a	n/a
196.002	4.000	fb_v_pos	-0.466	0.269
200.002	10.000	feel	n/a	n/a
210.002	3.999	fb_v_pos	0.463	-0.111
214.001	10.000	feel	n/a	n/a
224.001	3.999	fb_v_pos	0.031	-0.120
228.000	10.000	feel	n/a	n/a
238.000	4.002	fb_v_pos	0.086	-0.426
242.002	10.000	rest	n/a	n/a
252.002	4.000	fb_a_neg	0.000	0.000
256.002	10.000	feel	n/a	n/a
266.002	3.999	fb_a_neg	-0.231	0.617
270.001	10.000	feel	n/a	n/a
280.001	4.000	fb_a_neg	-0.054	-0.400
284.001	10.001	feel	n/a	n/a
294.002	3.999	fb_a_neg	-0.151	-0.740
298.001	10.001	feel	n/a	n/a
308.002	4.000	fb_a_neg	-0.349	-0.617
312.002	9.999	rest	n/a	n/a
322.001	4.000	fb_v_pos	0.000	0.000
326.001	10.000	feel	n/a	n/a
336.001	4.000	fb_v_pos	0.197	0.043
340.001	10.000	feel	n/a	n/a
350.001	4.001	fb_v_pos	0.771	-0.386
354.002	10.000	feel	n/a	n/a
364.002	4.000	fb_v_pos	0.854	0.869
368.002	10.000	feel	n/a	n/a
378.002	3.998	fb_v_pos	0.883	0.151
382.000	10.002	rest	n/a	n/a
392.002	4.000	fb_a_pos	0.000	0.000
396.002	9.999	feel	n/a	n/a
406.001	4.000	fb_a_pos	-0.697	-0.654
410.001	10.000	feel	n/a	n/a
420.001	4.001	fb_a_pos	-0.537	-0.003
424.002	9.999	feel	n/a	n/a
434.001	4.000	fb_a_pos	0.071	0.543
438.001	10.000	feel	n/a	n/a
448.001	4.000	fb_a_pos	-0.323	-0.397
452.001	10.001	rest	n/a	n/a
462.002	3.998	fb_v_neg	0.000	0.000
466.000	10.000	feel	n/a	n/a
476.000	4.002	fb_v_neg	-0.571	0.194
480.002	10.000	feel	n/a	n/a
490.002	4.000	fb_v_neg	-0.154	-0.103
494.002	9.999	feel	n/a	n/a
504.001	4.000	fb_v_neg	0.471	0.040
508.001	10.000	feel	n/a	n/a
518.001	4.002	fb_v_neg	-0.334	0.249
522.003	9.998	rest	n/a	n/a
532.001	3.999	fb_a_neg	0.000	0.000
536.000	10.002	feel	n/a	n/a
546.002	3.999	fb_a_neg	0.366	-0.334
550.001	9.999	feel	n/a	n/a
560.000	4.002	fb_a_neg	-0.800	-0.280
564.002	9.999	feel	n/a	n/a
574.001	4.000	fb_a_neg	-0.151	0.420
578.001	10.000	feel	n/a	n/a
588.001	4.001	fb_a_neg	-0.691	0.271
592.002	27.998	finish	n/a	n/a
