onset	duration	trial_type	fb_valence	fb_arousal
0.002	41.998	rest	n/a	n/a
42.000	4.001	fb_v_pos	0.000	0.000
46.001	10.000	feel	n/a	n/a
56.001	4.000	fb_v_pos	0.394	0.074
60.001	9.999	feel	n/a	n/a
70.000	4.000	fb_v_pos	0.046	-0.151
74.000	10.000	feel	n/a	n/a
84.000	4.002	fb_v_pos	0.146	-0.411
88.002	10.000	feel	n/a	n/a
98.002	4.001	fb_v_pos	0.463	-0.146
102.003	9.997	rest	n/a	n/a
112.000	4.001	fb_a_pos	0.000	0.000
116.001	10.000	feel	n/a	n/a
126.001	4.001	fb_a_pos	0.931	0.137
130.002	9.999	feel	n/a	n/a
140.001	4.001	fb_a_pos	0.366	-0.080
144.002	9.999	feel	n/a	n/a
154.001	4.000	fb_a_pos	0.297	0.331
158.001	10.001	feel	n/a	n/a
168.002	4.000	fb_a_pos	0.340	0.631
172.002	10.000	rest	n/a	n/a
182.002	4.000	fb_a_neg	0.000	0.000
186.002	10.000	feel	n/a	n/a
196.002	3.999	fb_a_neg	0.463	0.086
200.001	10.000	feel	n/a	n/a
210.001	4.002	fb_a_neg	0.540	-0.134
214.003	9.997	feel	n/a	n/a
224.000	4.001	fb_a_neg	0.057	-0.794
228.001	10.001	feel	n/a	n/a
238.002	3.998	fb_a_neg	0.094	-0.537
242.000	10.001	rest	n/a	n/a
252.001	4.000	fb_v_neg	0.000	0.000
256.001	10.001	feel	n/a	n/a
266.002	3.999	fb_v_neg	0.074	-0.351
270.001	10.000	feel	n/a	n/a
280.001	4.002	fb_v_neg	-0.083	0.111
284.003	9.998	feel	n/a	n/a
294.001	4.000	fb_v_neg	-0.069	0.251
298.001	9.999	feel	n/a	n/a
308.000	4.000	fb_v_neg	-0.514	0.003
312.000	10.002	rest	n/a	n/a
322.002	3.999	fb_a_neg	0.000	0.000
326.001	10.000	feel	n/a	n/a
336.001	4.001	fb_a_neg	-0.186	0.234
340.002	10.000	feel	n/a	n/a
350.002	4.000	fb_a_neg	0.023	-0.777
354.002	10.000	feel	n/a	n/a
364.002	3.999	fb_a_neg	-0.003	-0.831
368.001	10.000	feel	n/a	n/a
378.001	3.999	fb_a_neg	0.443	-0.814
382.000	10.002	rest	n/a	n/a
392.002	4.000	fb_v_pos	0.000	0.000
396.002	9.998	feel	n/a	n/a
406.000	4.002	fb_v_pos	-0.006	0.580
410.002	9.999	feel	n/a	n/a
420.001	4.000	fb_v_pos	-0.277	0.634
424.001	10.001	feel	n/a	n/a
434.002	3.998	fb_v_pos	0.217	0.143
438.000	10.002	feel	n/a	n/a
448.002	3.999	fb_v_pos	0.291	0.880
452.001	10.000	rest	n/a	n/a
462.001	4.000	fb_a_pos	0.000	0.000
466.001	10.001	feel	n/a	n/a
476.002	3.999	fb_a_pos	0.143	0.074
480.001	9.999	feel	n/a	n/a
490.000	4.002	fb_a_pos	0.243	0.114
494.002	9.999	feel	n/a	n/a
504.001	4.001	fb_a_pos	0.574	-0.400
508.002	9.999	feel	n/a	n/a
518.001	4.000	fb_a_pos	-0.560	0.660
522.001	9.999	rest	n/a	n/a
532.000	4.002	fb_v_neg	0.000	0.000
536.002	9.999	feel	n/a	n/a
546.001	4.000	fb_v_neg	-0.597	0.183
550.001	10.000	feel	n/a	n/a
560.001	3.999	fb_v_neg	-0.294	-0.071
564.000	10.002	feel	n/a	n/a
574.002	3.998	fb_v_neg	-0.249	0.051
578.000	10.000	feel	n/a	n/a
588.000	4.001	fb_v_neg	-0.517	0.374
592.001	27.999	finish	n/a	n/a
