onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.000	rest	n/a	n/a
42.001	4.000	fb_v_pos	0.000	0.000
46.001	10.000	feel	n/a	n/a
56.001	3.999	fb_v_pos	0.031	-0.074
60.000	10.002	feel	n/a	n/a
70.002	4.000	fb_v_pos	0.771	-0.386
74.002	9.999	feel	n/a	n/a
84.001	4.001	fb_v_pos	0.854	0.869
88.002	10.000	feel	n/a	n/a
98.002	3.999	fb_v_pos	0.883	0.151
102.001	10.000	rest	n/a	n/a
112.001	4.000	fb_a_pos	0.000	0.000
116.001	10.000	feel	n/a	n/a
126.001	4.000	fb_a_pos	-0.697	-0.654
130.001	9.999	feel	n/a	n/a
140.000	4.000	fb_a_pos	-0.537	-0.003
144.000	10.001	feel	n/a	n/a
154.001	4.000	fb_a_pos	0.071	0.543
158.001	9.999	feel	n/a	n/a
168.000	4.001	fb_a_pos	-0.323	-0.397
172.001	10.002	rest	n/a	n/a
182.003	3.998	fb_v_neg	0.000	0.000
186.001	9.999	feel	n/a	n/a
196.000	4.001	fb_v_neg	-0.569	0.240
200.001	9.999	feel	n/a	n/a
210.000	4.001	fb_v_neg	-0.154	-0.103
214.001	10.001	feel	n/a	n/a
224.002	3.999	fb_v_neg	0.471	0.040
228.001	10.000	feel	n/a	n/a
238.001	4.000	fb_v_neg	-0.334	0.249
242.001	9.999	rest	n/a	n/a
252.000	4.001	fb_a_neg	0.000	0.000
256.001	10.001	feel	n/a	n/a
266.002	3.999	fb_a_neg	0.183	-0.354
270.001	9.999	feel	n/a	n/a
280.000	4.000	fb_a_neg	-0.800	-0.280
284.000	10.000	feel	n/a	n/a
294.000	4.001	fb_a_neg	-0.151	0.420
298.001	10.001	feel	n/a	n/a
308.002	4.000	fb_a_neg	-0.691	0.271
312.002	9.998	rest	n/a	n/a
322.000	4.001	fb_a_pos	0.000	0.000
326.001	10.001	feel	n/a	n/a
336.002	3.998	fb_a_pos	-0.057	0.809
340.000	10.001	feel	n/a	n/a
350.001	3.999	fb_a_pos	0.203	0.589
354.000	10.002	feel	n/a	n/a
364.002	4.000	fb_a_pos	0.009	0.766
368.002	10.000	feel	n/a	n/a
378.002	4.000	fb_a_pos	-0.246	0.100
382.002	10.000	rest	n/a	n/a
392.002	4.000	fb_v_neg	0.000	0.000
396.002	10.000	feel	n/a	n/a
406.002	3.998	fb_v_neg	0.697	0.743
410.000	10.000	feel	n/a	n/a
420.000	4.002	fb_v_neg	0.077	0.194
424.002	9.999	feel	n/a	n/a
434.001	4.000	fb_v_neg	-0.660	0.174
438.001	10.000	feel	n/a	n/a
448.001	4.001	fb_v_neg	-0.309	0.411
452.002	10.000	rest	n/a	n/a
462.002	3.998	fb_v_pos	0.000	0.000
466.000	10.001	feel	n/a	n/a
476.001	3.999	fb_v_pos	-0.466	0.269
480.000	10.002	feel	n/a	n/a
490.002	4.000	fb_v_pos	0.463	-0.111
494.002	10.000	feel	n/a	n/a
504.002	3.999	fb_v_pos	0.031	-0.120
508.001	10.000	feel	n/a	n/a
518.001	4.001	fb_v_pos	0.086	-0.426
522.002	9.999	rest	n/a	n/a
532.001	4.001	fb_a_neg	0.000	0.000
536.002	10.000	feel	n/a	n/a
546.002	3.999	fb_a_neg	-0.231	0.617
550.001	9.999	feel	n/a	n/a
560.000	4.001	fb_a_neg	-0.054	-0.400
564.001	10.001	feel	n/a	n/a
574.002	3.999	fb_a_neg	-0.151	-0.740
578.001	10.000	feel	n/a	n/a
588.001	4.000	fb_a_neg	-0.349	-0.617
592.001	27.999	finish	n/a	n/a
