onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.001	rest	n/a	n/a
42.002	3.998	fb_v_pos	0.000	0.000
46.000	10.001	feel	n/a	n/a
56.001	4.000	fb_v_pos	0.394	0.074
60.001	10.000	feel	n/a	n/a
70.001	4.000	fb_v_pos	0.057	0.003
74.001	10.000	feel	n/a	n/a
84.001	4.000	fb_v_pos	0.217	-0.157
88.001	10.001	feel	n/a	n/a
98.002	4.000	fb_v_pos	0.486	-0.106
102.002	9.998	rest	n/a	n/a
112.000	4.000	fb_a_pos	0.000	0.000
116.000	10.000	feel	n/a	n/a
126.000	4.003	fb_a_pos	0.931	0.137
130.003	10.000	feel	n/a	n/a
140.003	3.997	fb_a_pos	0.366	-0.080
144.000	10.002	feel	n/a	n/a
154.002	3.999	fb_a_pos	0.406	0.514
158.001	10.001	feel	n/a	n/a
168.002	4.000	fb_a_pos	0.340	0.631
172.002	9.999	rest	n/a	n/a
182.001	4.001	fb_a_neg	0.000	0.000
186.002	9.999	feel	n/a	n/a
196.001	4.001	fb_a_neg	0.463	0.086
200.002	9.998	feel	n/a	n/a
210.000	4.002	fb_a_neg	0.280	-0.160
214.002	9.998	feel	n/a	n/a
224.000	4.002	fb_a_neg	0.057	-0.794
228.002	9.998	feel	n/a	n/a
238.000	4.001	fb_a_neg	0.094	-0.537
242.001	10.000	rest	n/a	n/a
252.001	4.000	fb_v_neg	0.000	0.000
256.001	10.000	feel	n/a	n/a
266.001	3.999	fb_v_neg	0.074	-0.351
270.000	10.001	feel	n/a	n/a
280.001	3.999	fb_v_neg	-0.157	0.171
284.000	10.001	feel	n/a	n/a
294.001	3.999	fb_v_neg	-0.251	0.286
298.000	10.000	feel	n/a	n/a
308.000	4.002	fb_v_neg	-0.514	0.003
312.002	10.001	rest	n/a	n/a
322.003	3.998	fb_a_neg	0.000	0.000
326.001	10.001	feel	n/a	n/a
336.002	3.999	fb_a_neg	0.060	0.477
340.001	10.000	feel	n/a	n/a
350.001	4.000	fb_a_neg	0.023	-0.777
354.001	10.000	feel	n/a	n/a
364.001	4.000	fb_a_neg	-0.003	-0.831
368.001	10.000	feel	n/a	n/a
378.001	4.000	fb_a_neg	0.443	-0.814
382.001	10.000	rest	n/a	n/a
392.001	3.999	fb_v_pos	0.000	0.000
396.000	10.001	feel	n/a	n/a
406.001	3.999	fb_v_pos	-0.006	0.580
410.000	10.000	feel	n/a	n/a
420.000	4.002	fb_v_pos	-0.277	0.634
424.002	9.999	feel	n/a	n/a
434.001	4.000	fb_v_pos	-0.066	0.143
438.001	9.999	feel	n/a	n/a
448.000	4.001	fb_v_pos	0.291	0.880
452.001	9.999	rest	n/a	n/a
462.000	4.001	fb_a_pos	0.000	0.000
466.001	9.999	feel	n/a	n/a
476.000	4.002	fb_a_pos	0.143	0.074
480.002	9.999	feel	n/a	n/a
490.001	4.000	fb_a_pos	0.243	0.114
494.001	10.001	feel	n/a	n/a
504.002	3.998	fb_a_pos	0.574	-0.400
508.000	10.002	feel	n/a	n/a
518.002	4.000	fb_a_pos	-0.560	0.660
522.002	9.999	rest	n/a	n/a
532.001	4.001	fb_v_neg	0.000	0.000
536.002	9.998	feel	n/a	n/a
546.000	4.001	fb_v_neg	-0.597	0.283
550.001	10.001	feel	n/a	n/a
560.002	3.999	fb_v_neg	-0.180	-0.017
564.001	10.001	feel	n/a	n/a
574.002	4.001	fb_v_neg	-0.249	0.051
578.003	9.999	feel	n/a	n/a
588.002	4.000	fb_v_neg	-0.517	0.374
592.002	27.998	finish	n/a	n/a
